Name,Research unit(s),URL,Research,Words,Synonym_,merge_synonyms
Jia Deng,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/jia-deng,"Computer Science, Center Statistics Machine Learning","Computer, Science, Center, Statistics, Machine, Learning","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , ","Computer, Science, Center, Statistics, Machine, Learning, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , "
Jie Deng,Geosciences,https://collaborate.princeton.edu/en/persons/jie-deng,Geosciences,Geosciences,,"Geosciences, nan"
Donnacha Matthew Dennehy,Music,https://collaborate.princeton.edu/en/persons/donnacha-matthew-dennehy,Music,Music,"medicine, euphony, music","Music, medicine, euphony, music"
Ellora Derenoncourt,Economics,https://collaborate.princeton.edu/en/persons/ellora-derenoncourt,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Matthew Desmond,Sociology,https://collaborate.princeton.edu/en/persons/matthew-desmond,Sociology,Sociology,sociology,"Sociology, sociology"
Curtis A. Deutsch,Geosciences,https://collaborate.princeton.edu/en/persons/curtis-a-deutsch,Geosciences,Geosciences,,"Geosciences, nan"
Danelle Devenport,Molecular Biology,https://collaborate.princeton.edu/en/persons/danelle-devenport,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Maria A. DiBattista,English,https://collaborate.princeton.edu/en/persons/maria-a-dibattista,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Bradley Horatio Dickerson,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/bradley-horatio-dickerson,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Adji Bousso Dieng,Computer Science,https://collaborate.princeton.edu/en/persons/adji-bousso-dieng,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Jacob S. Dlamini,History,https://collaborate.princeton.edu/en/persons/jacob-s-dlamini,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Andy P. Dobson,"Ecology & Evolutionary Biology, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/andy-p-dobson,"Ecology Evolutionary Biology, High Meadows Environmental Institute, Lewis-Sigler Institute Integrative Genomics","Ecology, Evolutionary, Biology, High, Meadows, Environmental, Institute, Lewis-Sigler, Institute, Integrative, Genomics","environmental_science, bionomics, ecology, , , , , , , , , , ","Ecology, Evolutionary, Biology, High, Meadows, Environmental, Institute, Lewis-Sigler, Institute, Integrative, Genomics, environmental_science, bionomics, ecology, , , , , , , , , , "
Lynda G. Dodd,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/lynda-g-dodd,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Arthur Dogariu,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/arthur-dogariu,Mechanical Aerospace Engineering,"Mechanical, Aerospace, Engineering","mechanically_skillful, mechanical, , ","Mechanical, Aerospace, Engineering, mechanically_skillful, mechanical, , "
Brigid Doherty,German,https://collaborate.princeton.edu/en/persons/brigid-doherty,German,German,"High_German, German_language, German","German, High_German, German_language, German"
Jeff Dolven,English,https://collaborate.princeton.edu/en/persons/jeff-dolven,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Marc Domingo Gygax,Classics,https://collaborate.princeton.edu/en/persons/marc-domingo-gygax,Classics,Classics,"classics, classic","Classics, classics, classic"
Robert M. Dondero,Computer Science,https://collaborate.princeton.edu/en/persons/robert-m-dondero,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Bruce T. Draine,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/bruce-t-draine,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Susana Draper,Comparative Literature,https://collaborate.princeton.edu/en/persons/susana-draper,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Lidal Dror,Philosophy,https://collaborate.princeton.edu/en/persons/lidal-dror,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Thomas S. Duffy,"Geosciences, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/thomas-s-duffy,"Geosciences, Princeton Materials Institute","Geosciences, Princeton, Materials, Institute",", , , ","Geosciences, Princeton, Materials, Institute, , , , "
Mitchell Duneier,Sociology,https://collaborate.princeton.edu/en/persons/mitchell-duneier,Sociology,Sociology,sociology,"Sociology, sociology"
Jo Dunkley,"Physics, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/jo-dunkley,"Physics, Astrophysical Sciences","Physics, Astrophysical, Sciences","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , ","Physics, Astrophysical, Sciences, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , "
Pascaline Dupas,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/pascaline-dupas,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Zeev Dvir,"Computer Science, Mathematics",https://collaborate.princeton.edu/en/persons/zeev-dvir,"Computer Science, Mathematics","Computer, Science, Mathematics","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , ","Computer, Science, Mathematics, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , "
Yaacob Dweck,History,https://collaborate.princeton.edu/en/persons/yaacob-dweck,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Kathryn Jo Edin,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/kathryn-jo-edin,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Laura F. Edwards,History,https://collaborate.princeton.edu/en/persons/laura-f-edwards,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Adam Newman Elga,Philosophy,https://collaborate.princeton.edu/en/persons/adam-newman-elga,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Elizabeth Ellis,History,https://collaborate.princeton.edu/en/persons/elizabeth-ellis,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
G. J. Peter Elmer,Physics,https://collaborate.princeton.edu/en/persons/g-j-peter-elmer,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Karen Renee Emmerich,Comparative Literature,https://collaborate.princeton.edu/en/persons/karen-renee-emmerich,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Esteban A. Engel,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/esteban-a-engel,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Tatiana Engel,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/tatiana-engel,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Louis Esser,Mathematics,https://collaborate.princeton.edu/en/persons/louis-esser,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Hannah Essien,Prnctn Inst Intl & Regnl Studs,https://collaborate.princeton.edu/en/persons/hannah-essien,Prnctn Inst Intl Regnl Studs,"Prnctn, Inst, Intl, Regnl, Studs",", , , , ","Prnctn, Inst, Intl, Regnl, Studs, , , , , "
Benjamin Eysenbach,Computer Science,https://collaborate.princeton.edu/en/persons/benjamin-eysenbach,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Annegret Lea Falkner,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/annegret-lea-falkner,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Jianqing Fan,"Operations Research & Financial Engineering, Bendheim Center for Finance, Center for Statistics & Machine Learning, Economics",https://collaborate.princeton.edu/en/persons/jianqing-fan,"Operations Research Financial Engineering, Bendheim Center Finance, Center Statistics Machine Learning, Economics","Operations, Research, Financial, Engineering, Bendheim, Center, Finance, Center, Statistics, Machine, Learning, Economics","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , , , , , ","Operations, Research, Financial, Engineering, Bendheim, Center, Finance, Center, Statistics, Machine, Learning, Economics, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , , , , , "
Fauzia Farooqui,Prnctn Inst Intl & Regnl Studs,https://collaborate.princeton.edu/en/persons/fauzia-farooqui,Prnctn Inst Intl Regnl Studs,"Prnctn, Inst, Intl, Regnl, Studs",", , , , ","Prnctn, Inst, Intl, Regnl, Studs, , , , , "
Katie Farris,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/katie-farris,Lewis Center Arts,"Lewis, Center, Arts","Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , ","Lewis, Center, Arts, Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , "
Charles Louis Fefferman,Mathematics,https://collaborate.princeton.edu/en/persons/charles-louis-fefferman,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Andrew Mark Feldherr,Classics,https://collaborate.princeton.edu/en/persons/andrew-mark-feldherr,Classics,Classics,"classics, classic","Classics, classics, classic"
Liane Marquis Feldman,Religion,https://collaborate.princeton.edu/en/persons/liane-marquis-feldman,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Philip George Felton,Molecular Biology,https://collaborate.princeton.edu/en/persons/philip-george-felton,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Jaime Fernandez Fisac,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/jaime-fernandez-fisac,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Patricia Fernandez-Kelly,Sociology,https://collaborate.princeton.edu/en/persons/patricia-fernandez-kelly,Sociology,Sociology,sociology,"Sociology, sociology"
Jonathan Michael Fickenscher,Mathematics,https://collaborate.princeton.edu/en/persons/jonathan-michael-fickenscher,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Kai Alexander Filsinger,Princeton Materials Institute,https://collaborate.princeton.edu/en/persons/kai-alexander-filsinger,Princeton Materials Institute,"Princeton, Materials, Institute","Princeton, Princeton_University, , ","Princeton, Materials, Institute, Princeton, Princeton_University, , "
Adam Finkelstein,Computer Science,https://collaborate.princeton.edu/en/persons/adam-finkelstein,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Nathaniel J. Fisch,"Astrophysical Sciences, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/nathaniel-j-fisch,"Astrophysical Sciences, Mechanical Aerospace Engineering","Astrophysical, Sciences, Mechanical, Aerospace, Engineering","astrophysical, , , , ","Astrophysical, Sciences, Mechanical, Aerospace, Engineering, astrophysical, , , , "
Robert S. Fish,Computer Science,https://collaborate.princeton.edu/en/persons/robert-s-fish,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Jason W. Fleischer,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/jason-w-fleischer,"Electrical and Computer Engineering, Princeton Materials Institute","Electrical, and, Computer, Engineering, Princeton, Materials, Institute","electric, electrical, , , , , , ","Electrical, and, Computer, Engineering, Princeton, Materials, Institute, electric, electrical, , , , , , "
Marc Fleurbaey,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/marc-fleurbaey,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Harriet Isabel Flower,Classics,https://collaborate.princeton.edu/en/persons/harriet-isabel-flower,Classics,Classics,"classics, classic","Classics, classics, classic"
Michael A. Flower,Classics,https://collaborate.princeton.edu/en/persons/michael-a-flower,Classics,Classics,"classics, classic","Classics, classics, classic"
Ruth Catherine Fong,Computer Science,https://collaborate.princeton.edu/en/persons/ruth-catherine-fong,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Devin A. Fore,German,https://collaborate.princeton.edu/en/persons/devin-a-fore,German,German,"High_German, German_language, German","German, High_German, German_language, German"
Hal Foster,Art and Archaeology,https://collaborate.princeton.edu/en/persons/hal-foster,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Sonja Angelique Francis,Chemistry,https://collaborate.princeton.edu/en/persons/sonja-angelique-francis,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Pietro Frassica,French & Italian,https://collaborate.princeton.edu/en/persons/pietro-frassica,French Italian,"French, Italian","French_people, French, Gallic, Daniel_Chester_French, ","French, Italian, French_people, French, Gallic, Daniel_Chester_French, "
Elena Fratto,Slavic Lang & Literatures,https://collaborate.princeton.edu/en/persons/elena-fratto,Slavic Lang Literatures,"Slavic, Lang, Literatures","Slavonic, Slavic_language, Slavic, Slavonic_language, , ","Slavic, Lang, Literatures, Slavonic, Slavic_language, Slavic, Slavonic_language, , "
Michael Joseph Freedman,"Computer Science, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/michael-joseph-freedman,"Computer Science, Center Information Technology Policy","Computer, Science, Center, Information, Technology, Policy","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , ","Computer, Science, Center, Information, Technology, Policy, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , "
Aaron Louis Friedberg,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/aaron-louis-friedberg,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Paul Frymer,Politics,https://collaborate.princeton.edu/en/persons/paul-frymer,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Tian-Ming Fu,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/tian-ming-fu,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Stephan Andreas Fueglistaler,"Geosciences, Atmospheric & Oceanic Sciences, High Meadows Environmental Institute, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/stephan-andreas-fueglistaler,"Geosciences, Atmospheric Oceanic Sciences, High Meadows Environmental Institute, Princeton Institute Computational Science and Engineering","Geosciences, Atmospheric, Oceanic, Sciences, High, Meadows, Environmental, Institute, Princeton, Institute, Computational, Science, and, Engineering",", , , , , , , , , , , , , ","Geosciences, Atmospheric, Oceanic, Sciences, High, Meadows, Environmental, Institute, Princeton, Institute, Computational, Science, and, Engineering, , , , , , , , , , , , , , "
Thomas Fujiwara,Economics,https://collaborate.princeton.edu/en/persons/thomas-fujiwara,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Diana Jean Fuss,English,https://collaborate.princeton.edu/en/persons/diana-jean-fuss,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
David Gabai,Mathematics,https://collaborate.princeton.edu/en/persons/david-gabai,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Cristiano Galbiati,Physics,https://collaborate.princeton.edu/en/persons/cristiano-galbiati,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Ruben Gallo,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/ruben-gallo,Spanish Portuguese,"Spanish, Portuguese","Spanish, Spanish_people, ","Spanish, Portuguese, Spanish, Spanish_people, "
Daniel Garber,Philosophy,https://collaborate.princeton.edu/en/persons/daniel-garber,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Lorgia Garcia Pena,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/lorgia-garcia-pena,Effron Center Study of America,"Effron, Center, Study, of, America",", , , , ","Effron, Center, Study, of, America, , , , , "
Filiz Garip,Sociology,https://collaborate.princeton.edu/en/persons/filiz-garip,Sociology,Sociology,sociology,"Sociology, sociology"
Maria Eugenia Moreyra Garlock,"Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/maria-eugenia-moreyra-garlock,"Civil Environmental Engineering, High Meadows Environmental Institute","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute","civil, polite, civic, , , , , , ","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, civil, polite, civic, , , , , , "
Sheldon Marc Garon,History,https://collaborate.princeton.edu/en/persons/sheldon-marc-garon,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Varun Gauri,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/varun-gauri,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Elizabeth Rose Gavis,Molecular Biology,https://collaborate.princeton.edu/en/persons/elizabeth-rose-gavis,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Tangli Ge,Mathematics,https://collaborate.princeton.edu/en/persons/tangli-ge,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Sophie Graham Gee,English,https://collaborate.princeton.edu/en/persons/sophie-graham-gee,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Jason Geller,Psychology,https://collaborate.princeton.edu/en/persons/jason-geller,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Robert Peter George,Politics,https://collaborate.princeton.edu/en/persons/robert-peter-george,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Behrooz Ghamari-Tabrizi,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/behrooz-ghamari-tabrizi,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Yasaman Ghasempour,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/yasaman-ghasempour,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Asif A. Ghazanfar,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/asif-a-ghazanfar,"Psychology, Princeton Neuroscience Institute","Psychology, Princeton, Neuroscience, Institute","psychological_science, psychology, , , ","Psychology, Princeton, Neuroscience, Institute, psychological_science, psychology, , , "
German Sergio Gieczewski,Politics,https://collaborate.princeton.edu/en/persons/german-sergio-gieczewski,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Simon Eliud Gikandi,English,https://collaborate.princeton.edu/en/persons/simon-eliud-gikandi,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Maia Ginsburg,Computer Science,https://collaborate.princeton.edu/en/persons/maia-ginsburg,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Simone Giombi,Physics,https://collaborate.princeton.edu/en/persons/simone-giombi,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Zemer Gitai,"Molecular Biology, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/zemer-gitai,"Molecular Biology, High Meadows Environmental Institute, Lewis-Sigler Institute Integrative Genomics, Princeton Branch of Ludwig Institute Cancer Research","Molecular, Biology, High, Meadows, Environmental, Institute, Lewis-Sigler, Institute, Integrative, Genomics, Princeton, Branch, of, Ludwig, Institute, Cancer, Research","molecular, , , , , , , , , , , , , , , , ","Molecular, Biology, High, Meadows, Environmental, Institute, Lewis-Sigler, Institute, Integrative, Genomics, Princeton, Branch, of, Ludwig, Institute, Cancer, Research, molecular, , , , , , , , , , , , , , , , "
Alexander Glaser,"Princeton School of Public and International Affairs, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/alexander-glaser,"Princeton School of Public and International Affairs, Mechanical Aerospace Engineering","Princeton, School, of, Public, and, International, Affairs, Mechanical, Aerospace, Engineering","Princeton, Princeton_University, , , , , , , , , ","Princeton, School, of, Public, and, International, Affairs, Mechanical, Aerospace, Engineering, Princeton, Princeton_University, , , , , , , , , "
Eddie Steven Glaude,African American Studies,https://collaborate.princeton.edu/en/persons/eddie-steven-glaude,African American Studies,"African, American, Studies","African, , ","African, American, Studies, African, , "
Yonatan Glazer-Eytan,History,https://collaborate.princeton.edu/en/persons/yonatan-glazer-eytan,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
William Albert Gleason,English,https://collaborate.princeton.edu/en/persons/william-albert-gleason,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Branko Glisic,"Civil & Environmental Engineering, Keller Center for Innovation in Engineering Education, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/branko-glisic,"Civil Environmental Engineering, Keller Center Innovation in Engineering Education, Princeton Materials Institute","Civil, Environmental, Engineering, Keller, Center, Innovation, in, Engineering, Education, Princeton, Materials, Institute","civil, polite, civic, , , , , , , , , , , ","Civil, Environmental, Engineering, Keller, Center, Innovation, in, Engineering, Education, Princeton, Materials, Institute, civil, polite, civic, , , , , , , , , , , "
Claire F. Gmachl,"Electrical and Computer Engineering, High Meadows Environmental Institute, Keller Center for Innovation in Engineering Education, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/claire-f-gmachl,"Electrical and Computer Engineering, High Meadows Environmental Institute, Keller Center Innovation in Engineering Education, Princeton Materials Institute","Electrical, and, Computer, Engineering, High, Meadows, Environmental, Institute, Keller, Center, Innovation, in, Engineering, Education, Princeton, Materials, Institute","electric, electrical, , , , , , , , , , , , , , , , ","Electrical, and, Computer, Engineering, High, Meadows, Environmental, Institute, Keller, Center, Innovation, in, Engineering, Education, Princeton, Materials, Institute, electric, electrical, , , , , , , , , , , , , , , , "
Jonathan C. Gold,Religion,https://collaborate.princeton.edu/en/persons/jonathan-c-gold,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Adele E. Goldberg,Psychology,https://collaborate.princeton.edu/en/persons/adele-e-goldberg,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Noreen Goldman,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/noreen-goldman,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Andrea Jo Goldsmith,"Electrical and Computer Engineering, School of Engineering & Applied Science",https://collaborate.princeton.edu/en/persons/andrea-jo-goldsmith,"Electrical and Computer Engineering, School of Engineering Applied Science","Electrical, and, Computer, Engineering, School, of, Engineering, Applied, Science","electric, electrical, , , , , , , , ","Electrical, and, Computer, Engineering, School, of, Engineering, Applied, Science, electric, electrical, , , , , , , , "
Adam Michael Goldstein,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/adam-michael-goldstein,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Robert James Goldston,"Astrophysical Sciences, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/robert-james-goldston,"Astrophysical Sciences, High Meadows Environmental Institute","Astrophysical, Sciences, High, Meadows, Environmental, Institute","astrophysical, , , , , ","Astrophysical, Sciences, High, Meadows, Environmental, Institute, astrophysical, , , , , "
Reena N. Goldthree,African American Studies,https://collaborate.princeton.edu/en/persons/reena-n-goldthree,African American Studies,"African, American, Studies","African, , ","African, American, Studies, African, , "
